"Country","Fruits 2009-10 Area (In Hectare)","Fruits 2010-11 Area (In Hectare)","Fruits2009-10 Production (In Tonnes)","Fruits2010-11 Production (In Tonnes)","Fruits2009-10 Productivity (In Tonnes/Hectare)","Fruits2010-11 Productivity (In Tonnes/Hectare)","Vegetables 2009-10 Area (In Hectare)","Vegetables 2010-11 Area (In Hectare)","Vegetables2009-10 Production (In Tonnes)","Vegetables2010-11 Production (In Tonnes)","Vegetables2009-10 Productivity (In Tonnes/Hectare)","Vegetables2010-11 Productivity (In Tonnes/Hectare)",""
"China","11057621","11402073","109615629","122184944","9.9","10.7","24080078","21047200","457830386","473062941","19.0","22.5",""
"India","6329200","6383000","71515500","74878000","11.3","11.7","7984800","8495000","133737600","146554000","16.7","17.3",""
"Brazil","2449758","2441430","38683456","39286781","15.8","16.1","1158911","1123800","37252110","35293556","32.1","31.4",""
"USA","1159589","1145475","27762483","25383917","23.9","22.2","1106103","1089805","27163932","25831193","24.6","23.7",""
"Italy","1267386","1277347","17646110","16907895","13.9","13.2","592757","711857","14974532","18678490","25.3","26.2",""
"Spain","1743165","1562160","16277697","15184420","9.3","9.7","523843","536799","13696421","13499277","26.1","25.1",""
"Mexico","1201897","1212387","16122211","15255598","13.4","12.6","767820","759100","14349110","13233450","18.7","17.4",""
"Indonesia","721258","662800","16028273","14867762","22.2","22.4","724047","758383","19171905","19516402","26.5","25.7",""
"Philippines","1123530","1155871","15620664","16181731","13.9","14.0","352845","340600","12621874","12679700","35.8","37.2",""
"Iran","1264574","NA","13183703","NA","10.4","","668970","656124","12100851","12125391","18.1","18.5",""
"Turkey","1036528","1092623","12829520","13945604","12.4","12.8","307263","NA","11278249","NA","36.7","NA",""
"Others","26242703","26751915","228947458","245223757","8.7","9.2","16878300","18458398","221293175","242049765","13.1","13.1",""
